Sample in Buffer	Sample in Window	Output_Int
398	398	8003	
399	399	8002	
400	400	8000	
401	401	7997	
402	402	7993	
403	403	7988	
404	404	7983	
405	405	7979	
406	406	7977	
407	407	7977	
408	408	7979	
409	409	7983	
410	410	7988	
411	411	7993	
412	412	7997	
413	413	8000	
414	414	8002	
415	415	8003	
416	416	8003	
417	417	8002	
418	418	8000	
419	419	7997	
420	420	7993	
421	421	7988	
422	422	7983	
423	423	7979	
424	424	7977	
425	425	7977	
426	426	7979	
427	427	7983	
428	428	7988	
429	429	7993	
430	430	7997	
431	431	8000	
432	432	8002	
433	433	8003	
434	434	8003	
435	435	8002	
436	436	8000	
437	437	7997	
438	438	7993	
439	439	7988	
440	440	7983	
441	441	7979	
442	442	7977	
443	443	7977	
444	444	7979	
445	445	7983	
446	446	7988	
447	447	7993	
448	448	7997	
449	449	8000	
450	450	8002	
451	451	8003	
452	452	8003	
453	453	8002	
454	454	8000	
455	455	7997	
456	456	7993	
457	457	7988	
458	458	7983	
459	459	7979	
460	460	7977	
461	461	7977	
462	462	7979	
463	463	7983	
464	464	7988	
465	465	7993	
466	466	7997	
467	467	8000	
468	468	8002	
469	469	8003	
470	470	8003	
471	471	8002	
472	472	8000	
473	473	7997	
474	474	7993	
475	475	7988	
476	476	7983	
477	477	7979	
478	478	7977	
479	479	7977	
480	480	7979	
481	481	7983	
482	482	7988	
483	483	7993	
484	484	7997	
485	485	8000	
486	486	8002	
487	487	8003	
488	488	8003	
489	489	8002	
490	490	8000	
491	491	7997	
492	492	7993	
493	493	7988	
494	494	7983	
495	495	7979	
496	496	7977	
497	497	7977	
498	498	7979	
499	499	7983	
500	500	7988	
501	501	7993	
502	502	7997	
503	503	8000	
504	504	8002	
505	505	8003	
506	506	8003	
507	507	8002	
508	508	8000	
509	509	7997	
510	510	7993	
511	511	7988	
512	512	7983	
513	513	7979	
514	514	7977	
515	515	7977	
516	516	7979	
517	517	7983	
518	518	7988	
519	519	7993	
520	520	7997	
521	521	8000	
522	522	8002	
523	523	8003	
524	524	8003	
525	525	8002	
526	526	8000	
527	527	7997	
528	528	7993	
529	529	7988	
530	530	7983	
531	531	7979	
532	532	7977	
533	533	7977	
534	534	7979	
535	535	7983	
536	536	7988	
537	537	7993	
538	538	7997	
539	539	8000	
540	540	8002	
541	541	8003	
542	542	8003	
543	543	8002	
544	544	8000	
545	545	7997	
546	546	7993	
547	547	7988	
548	548	7983	
549	549	7979	
550	550	7977	
551	551	7977	
552	552	7979	
553	553	7983	
554	554	7988	
555	555	7993	
556	556	7997	
557	557	8000	
558	558	8002	
559	559	8003	
560	560	8003	
561	561	8002	
562	562	8000	
563	563	7997	
564	564	7993	
565	565	7988	
566	566	7983	
567	567	7979	
568	568	7977	
569	569	7977	
570	570	7979	
571	571	7983	
572	572	7988	
573	573	7993	
574	574	7997	
575	575	8000	
576	576	8002	
577	577	8003	
578	578	8003	
579	579	8002	
580	580	8000	
581	581	7997	
582	582	7993	
583	583	7988	
584	584	7983	
585	585	7979	
586	586	7977	
587	587	7977	
588	588	7979	
589	589	7983	
590	590	7988	
591	591	7993	
592	592	7997	
593	593	8000	
594	594	8002	
595	595	8003	
596	596	8003	
597	597	8002	
598	598	8000	
599	599	7997	
600	600	7993	
601	601	7988	
602	602	7983	
603	603	7979	
604	604	7977	
605	605	7977	
606	606	7979	
607	607	7983	
608	608	7988	
609	609	7993	
610	610	7997	
611	611	8000	
612	612	8002	
613	613	8003	
614	614	8003	
615	615	8002	
616	616	8000	
617	617	7997	
618	618	7993	
619	619	7988	
620	620	7983	
621	621	7979	
622	622	7977	
623	623	7977	
624	624	7979	
625	625	7983	
626	626	7988	
627	627	7993	
628	628	7997	
629	629	8000	
630	630	8002	
631	631	8003	
632	632	8003	
633	633	8002	
634	634	8000	
635	635	7997	
636	636	7993	
637	637	7988	
638	638	7983	
639	639	7979	
640	640	7977	
641	641	7977	
642	642	7979	
643	643	7983	
644	644	7988	
645	645	7993	
646	646	7997	
